image_path,type,body_part,correct_answer,image_name
Datasets/ThermEval/double/Thermal_1.JPG,double,forehead,right,Thermal_1.JPG
Datasets/ThermEval/double/Thermal_10.JPG,double,forehead,left,Thermal_10.JPG
Datasets/ThermEval/double/Thermal_177.JPG,double,nose,left,Thermal_177.JPG
Datasets/ThermEval/double/Thermal_205.JPG,double,forehead,right,Thermal_205.JPG
Datasets/ThermEval/double/Thermal_205.JPG,double,nose,right,Thermal_205.JPG
Datasets/ThermEval/double/Thermal_9.JPG,double,nose,left,Thermal_9.JPG
Datasets/ThermEval/double/Thermal_24.JPG,double,nose,right,Thermal_24.JPG
Datasets/ThermEval/double/Thermal_137.JPG,double,chest,right,Thermal_137.JPG
Datasets/ThermEval/double/Thermal_204.JPG,double,forehead,right,Thermal_204.JPG
Datasets/ThermEval/double/Thermal_46.JPG,double,nose,right,Thermal_46.JPG
Datasets/ThermEval/double/Thermal_35.JPG,double,nose,right,Thermal_35.JPG
Datasets/ThermEval/double/Thermal_34.JPG,double,nose,left,Thermal_34.JPG
Datasets/ThermEval/double/Thermal_140.JPG,double,forehead,right,Thermal_140.JPG
Datasets/ThermEval/double/Thermal_204.JPG,double,nose,right,Thermal_204.JPG
Datasets/ThermEval/double/Thermal_6.JPG,double,forehead,left,Thermal_6.JPG
Datasets/ThermEval/double/Thermal_9.JPG,double,forehead,left,Thermal_9.JPG
Datasets/ThermEval/double/Thermal_139.JPG,double,forehead,right,Thermal_139.JPG
Datasets/ThermEval/double/Thermal_85.JPG,double,nose,left,Thermal_85.JPG
Datasets/ThermEval/double/Thermal_69.JPG,double,nose,right,Thermal_69.JPG
Datasets/ThermEval/double/Thermal_25.JPG,double,forehead,left,Thermal_25.JPG
Datasets/ThermEval/double/Thermal_202.JPG,double,chest,right,Thermal_202.JPG
Datasets/ThermEval/double/Thermal_22.JPG,double,nose,right,Thermal_22.JPG
Datasets/ThermEval/double/Thermal_218.JPG,double,nose,right,Thermal_218.JPG
Datasets/ThermEval/double/Thermal_151.JPG,double,forehead,left,Thermal_151.JPG
Datasets/ThermEval/double/Thermal_6.JPG,double,chest,left,Thermal_6.JPG
Datasets/ThermEval/double/Thermal_103.JPG,double,nose,left,Thermal_103.JPG
Datasets/ThermEval/double/Thermal_218.JPG,double,chest,left,Thermal_218.JPG
Datasets/ThermEval/double/Thermal_69.JPG,double,forehead,right,Thermal_69.JPG
Datasets/ThermEval/double/Thermal_25.JPG,double,nose,right,Thermal_25.JPG
Datasets/ThermEval/double/Thermal_10.JPG,double,chest,right,Thermal_10.JPG
Datasets/ThermEval/double/Thermal_129.JPG,double,chest,right,Thermal_129.JPG
Datasets/ThermEval/double/Thermal_41.JPG,double,nose,right,Thermal_41.JPG
Datasets/ThermEval/double/Thermal_105.JPG,double,nose,right,Thermal_105.JPG
Datasets/ThermEval/double/Thermal_138.JPG,double,chest,right,Thermal_138.JPG
Datasets/ThermEval/double/Thermal_17.JPG,double,nose,left,Thermal_17.JPG
Datasets/ThermEval/double/Thermal_6.JPG,double,nose,right,Thermal_6.JPG
Datasets/ThermEval/double/Thermal_7.JPG,double,forehead,left,Thermal_7.JPG
Datasets/ThermEval/double/Thermal_220.JPG,double,chest,left,Thermal_220.JPG
Datasets/ThermEval/double/Thermal_225.JPG,double,nose,left,Thermal_225.JPG
Datasets/ThermEval/double/Thermal_33.JPG,double,chest,left,Thermal_33.JPG
Datasets/ThermEval/double/Thermal_32.JPG,double,forehead,right,Thermal_32.JPG
Datasets/ThermEval/double/Thermal_85.JPG,double,forehead,right,Thermal_85.JPG
Datasets/ThermEval/double/Thermal_47.JPG,double,nose,right,Thermal_47.JPG
Datasets/ThermEval/double/Thermal_96.JPG,double,chest,right,Thermal_96.JPG
Datasets/ThermEval/double/Thermal_176.JPG,double,forehead,left,Thermal_176.JPG
Datasets/ThermEval/double/Thermal_84.JPG,double,nose,left,Thermal_84.JPG
Datasets/ThermEval/double/Thermal_58.JPG,double,nose,right,Thermal_58.JPG
Datasets/ThermEval/double/Thermal_150.JPG,double,forehead,left,Thermal_150.JPG
Datasets/ThermEval/double/Thermal_30.JPG,double,chest,right,Thermal_30.JPG
Datasets/ThermEval/double/Thermal_223.JPG,double,chest,right,Thermal_223.JPG
