image_path,x,y,temperature,image_name
Datasets/ThermEval/double/Thermal_233.JPG,486,1025,30.9,Thermal_233.JPG
Datasets/ThermEval/double/Thermal_21.JPG,697,423,36.6,Thermal_21.JPG
Datasets/ThermEval/single/Thermal_15.JPG,309,849,28.2,Thermal_15.JPG
Datasets/ThermEval/double/Thermal_103.JPG,744,668,32.0,Thermal_103.JPG
Datasets/ThermEval/double/Thermal_150.JPG,381,822,32.2,Thermal_150.JPG
Datasets/ThermEval/single/Thermal_74.JPG,331,1073,31.0,Thermal_74.JPG
Datasets/ThermEval/single/Thermal_115.JPG,662,423,29.5,Thermal_115.JPG
Datasets/ThermEval/double/Thermal_103.JPG,753,742,32.0,Thermal_103.JPG
Datasets/ThermEval/single/Thermal_95.JPG,405,818,35.2,Thermal_95.JPG
Datasets/ThermEval/single/Thermal_110.JPG,392,1073,32.7,Thermal_110.JPG
Datasets/ThermEval/double/Thermal_8.JPG,752,580,25.4,Thermal_8.JPG
Datasets/ThermEval/single/Thermal_173.JPG,351,1065,30.1,Thermal_173.JPG
Datasets/ThermEval/single/Thermal_12.JPG,616,673,28.4,Thermal_12.JPG
Datasets/ThermEval/single/Thermal_145.JPG,363,429,30.8,Thermal_145.JPG
Datasets/ThermEval/double/Thermal_230.JPG,458,796,34.0,Thermal_230.JPG
Datasets/ThermEval/double/Thermal_220.JPG,500,412,30.5,Thermal_220.JPG
Datasets/ThermEval/single/Thermal_135.JPG,280,770,32.2,Thermal_135.JPG
Datasets/ThermEval/double/Thermal_96.JPG,368,540,32.0,Thermal_96.JPG
Datasets/ThermEval/single/Thermal_215.JPG,405,774,28.1,Thermal_215.JPG
Datasets/ThermEval/single/Thermal_217.JPG,383,479,27.2,Thermal_217.JPG
Datasets/ThermEval/single/Thermal_127.JPG,280,817,30.6,Thermal_127.JPG
Datasets/ThermEval/double/Thermal_225.JPG,425,754,31.9,Thermal_225.JPG
Datasets/ThermEval/single/Thermal_102.JPG,802,1011,32.7,Thermal_102.JPG
Datasets/ThermEval/double/Thermal_225.JPG,359,596,31.5,Thermal_225.JPG
Datasets/ThermEval/single/Thermal_93.JPG,632,1058,34.2,Thermal_93.JPG
Datasets/ThermEval/single/Thermal_111.JPG,410,791,31.5,Thermal_111.JPG
Datasets/ThermEval/single/Thermal_28.JPG,794,906,29.0,Thermal_28.JPG
Datasets/ThermEval/double/Thermal_9.JPG,700,578,29.5,Thermal_9.JPG
Datasets/ThermEval/single/Thermal_87.JPG,421,561,35.2,Thermal_87.JPG
Datasets/ThermEval/double/Thermal_231.JPG,542,832,32.0,Thermal_231.JPG
Datasets/ThermEval/double/Thermal_85.JPG,607,907,28.1,Thermal_85.JPG
Datasets/ThermEval/single/Thermal_29.JPG,288,999,30.5,Thermal_29.JPG
Datasets/ThermEval/double/Thermal_144.JPG,316,937,32.9,Thermal_144.JPG
Datasets/ThermEval/single/Thermal_12.JPG,608,806,18.8,Thermal_12.JPG
Datasets/ThermEval/single/Thermal_12.JPG,290,860,19.4,Thermal_12.JPG
Datasets/ThermEval/double/Thermal_175.JPG,803,586,32.2,Thermal_175.JPG
Datasets/ThermEval/single/Thermal_4.JPG,575,778,32.8,Thermal_4.JPG
Datasets/ThermEval/single/Thermal_27.JPG,617,1038,28.7,Thermal_27.JPG
Datasets/ThermEval/single/Thermal_236.JPG,421,571,30.2,Thermal_236.JPG
Datasets/ThermEval/single/Thermal_154.JPG,531,715,35.8,Thermal_154.JPG
Datasets/ThermEval/single/Thermal_44.JPG,410,890,33.0,Thermal_44.JPG
Datasets/ThermEval/single/Thermal_87.JPG,527,800,34.9,Thermal_87.JPG
Datasets/ThermEval/single/Thermal_168.JPG,409,978,31.9,Thermal_168.JPG
Datasets/ThermEval/single/Thermal_81.JPG,686,513,27.8,Thermal_81.JPG
Datasets/ThermEval/single/Thermal_136.JPG,472,737,31.7,Thermal_136.JPG
Datasets/ThermEval/single/Thermal_29.JPG,602,417,33.0,Thermal_29.JPG
Datasets/ThermEval/double/Thermal_150.JPG,672,384,27.9,Thermal_150.JPG
Datasets/ThermEval/double/Thermal_204.JPG,716,818,33.1,Thermal_204.JPG
Datasets/ThermEval/double/Thermal_32.JPG,745,990,33.1,Thermal_32.JPG
Datasets/ThermEval/single/Thermal_94.JPG,772,531,31.4,Thermal_94.JPG
Datasets/ThermEval/single/Thermal_68.JPG,305,374,26.4,Thermal_68.JPG
Datasets/ThermEval/single/Thermal_213.JPG,422,992,32.5,Thermal_213.JPG
Datasets/ThermEval/single/Thermal_194.JPG,427,1047,30.1,Thermal_194.JPG
Datasets/ThermEval/double/Thermal_96.JPG,764,638,32.2,Thermal_96.JPG
Datasets/ThermEval/double/Thermal_64.JPG,519,629,26.6,Thermal_64.JPG
Datasets/ThermEval/double/Thermal_140.JPG,578,852,32.8,Thermal_140.JPG
Datasets/ThermEval/double/Thermal_129.JPG,635,674,32.7,Thermal_129.JPG
Datasets/ThermEval/single/Thermal_186.JPG,634,382,33.7,Thermal_186.JPG
Datasets/ThermEval/single/Thermal_93.JPG,513,993,34.1,Thermal_93.JPG
Datasets/ThermEval/single/Thermal_227.JPG,597,1039,36.0,Thermal_227.JPG
Datasets/ThermEval/double/Thermal_104.JPG,631,373,31.9,Thermal_104.JPG
Datasets/ThermEval/single/Thermal_51.JPG,646,633,23.5,Thermal_51.JPG
Datasets/ThermEval/single/Thermal_133.JPG,529,914,31.7,Thermal_133.JPG
Datasets/ThermEval/single/Thermal_53.JPG,666,1019,22.6,Thermal_53.JPG
Datasets/ThermEval/double/Thermal_57.JPG,415,1062,30.1,Thermal_57.JPG
Datasets/ThermEval/single/Thermal_180.JPG,318,780,32.0,Thermal_180.JPG
Datasets/ThermEval/single/Thermal_199.JPG,685,931,29.7,Thermal_199.JPG
Datasets/ThermEval/single/Thermal_171.JPG,521,950,31.7,Thermal_171.JPG
Datasets/ThermEval/double/Thermal_84.JPG,360,959,31.1,Thermal_84.JPG
Datasets/ThermEval/single/Thermal_125.JPG,592,522,34.5,Thermal_125.JPG
Datasets/ThermEval/single/Thermal_88.JPG,425,556,35.5,Thermal_88.JPG
Datasets/ThermEval/double/Thermal_64.JPG,795,446,30.7,Thermal_64.JPG
Datasets/ThermEval/double/Thermal_228.JPG,345,942,33.1,Thermal_228.JPG
Datasets/ThermEval/single/Thermal_188.JPG,517,457,31.6,Thermal_188.JPG
Datasets/ThermEval/single/Thermal_92.JPG,537,499,36.0,Thermal_92.JPG
Datasets/ThermEval/single/Thermal_121.JPG,508,662,34.1,Thermal_121.JPG
Datasets/ThermEval/double/Thermal_131.JPG,790,593,30.4,Thermal_131.JPG
Datasets/ThermEval/single/Thermal_135.JPG,572,911,33.0,Thermal_135.JPG
Datasets/ThermEval/single/Thermal_168.JPG,665,949,33.9,Thermal_168.JPG
Datasets/ThermEval/single/Thermal_67.JPG,459,664,28.0,Thermal_67.JPG
Datasets/ThermEval/single/Thermal_92.JPG,305,449,30.9,Thermal_92.JPG
Datasets/ThermEval/single/Thermal_75.JPG,547,597,33.1,Thermal_75.JPG
Datasets/ThermEval/double/Thermal_223.JPG,808,978,30.6,Thermal_223.JPG
Datasets/ThermEval/single/Thermal_75.JPG,404,647,31.0,Thermal_75.JPG
Datasets/ThermEval/single/Thermal_79.JPG,500,627,31.3,Thermal_79.JPG
Datasets/ThermEval/single/Thermal_152.JPG,791,544,31.3,Thermal_152.JPG
Datasets/ThermEval/single/Thermal_148.JPG,542,671,35.0,Thermal_148.JPG
Datasets/ThermEval/single/Thermal_179.JPG,761,675,32.3,Thermal_179.JPG
Datasets/ThermEval/single/Thermal_3.JPG,669,966,31.9,Thermal_3.JPG
Datasets/ThermEval/single/Thermal_108.JPG,636,813,31.0,Thermal_108.JPG
Datasets/ThermEval/single/Thermal_97.JPG,687,591,30.6,Thermal_97.JPG
Datasets/ThermEval/single/Thermal_207.JPG,550,497,34.6,Thermal_207.JPG
Datasets/ThermEval/single/Thermal_117.JPG,433,806,32.4,Thermal_117.JPG
Datasets/ThermEval/double/Thermal_130.JPG,567,898,31.6,Thermal_130.JPG
Datasets/ThermEval/single/Thermal_195.JPG,380,889,31.7,Thermal_195.JPG
Datasets/ThermEval/double/Thermal_139.JPG,428,364,29.9,Thermal_139.JPG
Datasets/ThermEval/single/Thermal_113.JPG,277,371,29.5,Thermal_113.JPG
Datasets/ThermEval/single/Thermal_28.JPG,426,1012,30.1,Thermal_28.JPG
Datasets/ThermEval/single/Thermal_49.JPG,597,948,28.9,Thermal_49.JPG
Datasets/ThermEval/double/Thermal_235.JPG,760,725,32.0,Thermal_235.JPG
